CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Homeless_Unaccompanied_Youth_Under_25,Sheltered_ES_Homeless_Unaccompanied_Youth_Under_25,Sheltered_TH_Homeless_Unaccompanied_Youth_Under_25,Sheltered_SH_Homeless_Unaccompanied_Youth_Under_25,Sheltered_Total_Homeless_Unaccompanied_Youth_Under_25,Unsheltered_Homeless_Unaccompanied_Youth_Under_25,Homeless_Unaccompanied_Youth_Under_18,Sheltered_ES_Homeless_Unaccompanied_Youth_Under_18,Sheltered_TH_Homeless_Unaccompanied_Youth_Under_18,Sheltered_SH_Homeless_Unaccompanied_Youth_Under_18,Sheltered_Total_Homeless_Unaccompanied_Youth_Under_18,Unsheltered_Homeless_Unaccompanied_Youth_Under_18,Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_ES_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_TH_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_SH_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_Total_Homeless_Unaccompanied_Youth_Age_18_24,Unsheltered_Homeless_Unaccompanied_Youth_Age_18_24,Homeless_Parenting_Youth_Under_25,Sheltered_ES_Homeless_Parenting_Youth_Under_25,Sheltered_TH_Homeless_Parenting_Youth_Under_25,Sheltered_Total_Homeless_Parenting_Youth_Under_25,Unsheltered_Homeless_Parenting_Youth_Under_25,Homeless_Parenting_Youth_Under_18,Sheltered_ES_Homeless_Parenting_Youth_Under_18,Sheltered_TH_Homeless_Parenting_Youth_Under_18,Sheltered_Total_Homeless_Parenting_Youth_Under_18,Unsheltered_Homeless_Parenting_Youth_Under_18,Homeless_Parenting_Youth_Age_18_24,Sheltered_ES_Homeless_Parenting_Youth_Age_18_24,Sheltered_TH_Homeless_Parenting_Youth_Age_18_24,Sheltered_Total_Homeless_Parenting_Youth_Age_18_24,Unsheltered_Homeless_Parenting_Youth_Age_18_24,Homeless_Children_of_Parenting_Youth,Sheltered_ES_Homeless_Children_of_Parenting_Youth,Sheltered_TH_Homeless_Children_of_Parenting_Youth,Sheltered_Total_Homeless_Children_of_Parenting_Youth,Unsheltered_Homeless_Children_of_Parenting_Youth,Count_Year
FL-513,"Palm Bay, Melbourne/Brevard County CoC",,845,211,381,0,592,253,583,161,184,0,345,238,262,50,197,247,15,87,15,67,82,5,167,53,0,53,114,153,47,0,47,106,14,6,6,8,210,17,154,0,171,39,55,23,18,0,41,14,18,18,0,0,18,0,37,5,18,0,23,14,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,3,2,1,3,0,2017
FL-514,Ocala/Marion County CoC,Suburban CoCs,572,168,133,0,301,271,443,107,81,0,188,255,129,61,52,113,16,38,20,14,34,4,124,23,0,23,101,105,20,0,20,85,19,3,3,16,69,14,55,0,69,0,48,14,12,0,26,22,15,8,7,0,15,0,33,6,5,0,11,22,4,3,1,4,0,1,1,0,1,0,3,2,1,3,0,3,2,1,3,0,2018
FL-514,Ocala/Marion County CoC,,725,160,130,0,290,435,599,83,100,0,183,416,126,77,30,107,19,38,20,11,31,7,147,10,0,10,137,137,0,0,0,137,10,10,10,0,72,0,60,0,60,12,54,19,11,0,30,24,30,19,11,0,30,0,24,0,0,0,0,24,24,3,14,17,7,12,0,12,12,0,12,3,2,5,7,29,3,14,17,12,2017
FL-515,"Panama City/Bay, Jackson Counties CoC",Rural CoCs,381,39,70,0,109,272,313,21,54,0,75,238,68,18,16,34,34,21,4,5,9,12,98,0,0,0,98,94,0,0,0,94,4,0,0,4,34,3,6,0,9,25,34,3,14,0,17,17,5,1,4,0,5,0,29,2,10,0,12,17,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4,4,0,0,0,4,2018
FL-515,"Panama City/Bay, Jackson Counties CoC",,336,48,95,0,143,193,285,44,85,0,129,156,51,4,10,14,37,14,2,3,5,9,38,0,0,0,38,38,0,0,0,38,0,0,0,0,34,6,9,0,15,19,43,13,30,0,43,0,26,9,17,0,26,0,17,4,13,0,17,0,2,0,1,1,1,0,0,0,0,0,2,0,1,1,1,2,0,1,1,1,2017
FL-517,"Hendry, Hardee, Highlands Counties CoC",Rural CoCs,453,21,48,0,69,384,292,7,9,0,16,276,161,14,39,53,108,44,7,18,25,19,259,11,0,11,248,201,7,0,7,194,58,4,4,54,18,0,0,0,0,18,65,0,0,0,0,65,31,0,0,0,0,31,34,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
FL-517,"Hendry, Hardee, Highlands Counties CoC",,609,44,47,0,91,518,377,0,9,0,9,368,232,44,38,82,150,79,18,14,32,47,283,0,0,0,283,236,0,0,0,236,47,0,0,47,16,0,0,0,0,16,62,0,0,0,0,62,21,0,0,0,0,21,41,0,0,0,0,41,11,4,0,4,7,0,0,0,0,0,11,4,0,4,7,15,6,0,6,9,2017
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Rural CoCs,493,57,33,0,90,403,387,28,33,0,61,326,106,29,0,29,77,37,9,0,9,28,38,0,0,0,38,34,0,0,0,34,4,0,0,4,41,0,24,0,24,17,43,9,1,0,10,33,9,7,0,0,7,2,34,2,1,0,3,31,9,1,0,1,8,0,0,0,0,0,9,1,0,1,8,9,1,0,1,8,2018
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",,502,65,34,0,99,403,372,12,34,0,46,326,130,53,0,53,77,44,16,0,16,28,38,0,0,0,38,34,0,0,0,34,4,0,0,4,43,1,25,0,26,17,44,10,1,0,11,33,9,7,0,0,7,2,35,3,1,0,4,31,11,3,0,3,8,0,0,0,0,0,11,3,0,3,8,12,4,0,4,8,2017
FL-519,Pasco County CoC,Suburban CoCs,2668,145,108,0,253,2415,829,66,38,0,104,725,1839,79,70,149,1690,467,27,18,45,422,826,30,0,30,796,392,17,0,17,375,434,13,13,421,214,15,24,0,39,175,328,11,0,0,11,317,58,11,0,0,11,47,270,0,0,0,0,270,27,0,7,7,20,2,0,0,0,2,25,0,7,7,18,45,0,17,17,28,2018
FL-519,Pasco County CoC,,2593,141,37,0,178,2415,838,76,37,0,113,725,1755,65,0,65,1690,444,22,0,22,422,847,51,0,51,796,416,41,0,41,375,431,10,10,421,220,45,0,0,45,175,329,6,6,0,12,317,49,2,0,0,2,47,280,4,6,0,10,270,24,4,0,4,20,2,0,0,0,2,22,4,0,4,18,30,2,0,2,28,2017
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Suburban CoCs,711,324,125,0,449,262,426,130,53,0,183,243,285,194,72,266,19,84,54,23,77,7,36,11,0,11,25,36,11,0,11,25,0,0,0,0,45,19,8,0,27,18,29,4,11,0,15,14,0,0,0,0,0,0,29,4,11,0,15,14,14,4,8,12,2,0,0,0,0,0,14,4,8,12,2,21,6,13,19,2,2018
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",,635,176,106,0,282,353,444,79,59,0,138,306,191,97,47,144,47,61,31,17,48,13,40,25,0,25,15,40,25,0,25,15,0,0,0,0,57,24,5,0,29,28,26,3,9,0,12,14,3,1,0,0,1,2,23,2,9,0,11,12,7,1,6,7,0,0,0,0,0,0,7,1,6,7,0,12,2,10,12,0,2017
FL-600,Miami-Dade County CoC,Major Cities,3516,1847,594,45,2486,1030,2425,1016,334,45,1395,1030,1091,831,260,1091,0,312,246,66,312,0,384,226,10,236,148,336,178,10,188,148,48,48,48,0,120,45,66,0,111,9,156,92,36,2,130,26,25,21,0,0,21,4,131,71,36,2,109,22,51,51,0,51,0,0,0,0,0,0,51,51,0,51,0,86,86,0,86,0,2018
FL-600,Miami-Dade County CoC,,3721,1928,755,27,2710,1011,2546,993,515,27,1535,1011,1175,935,240,1175,0,341,261,80,341,0,309,162,12,174,135,294,147,12,159,135,15,15,15,0,167,65,93,0,158,9,141,77,23,1,101,40,6,4,0,0,4,2,135,73,23,1,97,38,45,33,12,45,0,0,0,0,0,0,45,33,12,45,0,82,52,30,82,0,2017
FL-601,Ft Lauderdale/Broward County CoC,Suburban CoCs,2318,886,532,31,1449,869,1856,634,348,31,1013,843,462,252,184,436,26,131,67,56,123,8,439,189,18,207,232,422,172,18,190,232,17,17,17,0,189,51,63,2,116,73,141,71,29,1,101,40,14,13,0,0,13,1,127,58,29,1,88,39,27,19,7,26,1,0,0,0,0,0,27,19,7,26,1,34,24,9,33,1,2018
FL-601,Ft Lauderdale/Broward County CoC,,2450,886,572,35,1493,957,2037,652,420,35,1107,930,413,234,152,386,27,137,81,49,130,7,581,141,28,169,412,558,127,28,155,403,23,14,14,9,197,42,50,0,92,105,154,71,55,1,127,27,14,13,0,0,13,1,140,58,55,1,114,26,21,11,9,20,1,0,0,0,0,0,21,11,9,20,1,31,17,13,30,1,2017
FL-602,Punta Gorda/Charlotte County CoC,Suburban CoCs,164,59,19,0,78,86,130,35,19,0,54,76,34,24,0,24,10,8,7,0,7,1,45,11,0,11,34,45,11,0,11,34,0,0,0,0,40,20,19,0,39,1,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
FL-602,Punta Gorda/Charlotte County CoC,,222,66,23,0,89,133,165,41,23,0,64,101,57,25,0,25,32,13,7,0,7,6,33,4,0,4,29,29,4,0,4,25,4,0,0,4,55,30,23,0,53,2,7,2,1,0,3,4,0,0,0,0,0,0,7,2,1,0,3,4,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0,2017
FL-603,"Ft Myers, Cape Coral/Lee County CoC",Suburban CoCs,728,477,47,0,524,204,423,207,43,0,250,173,305,270,4,274,31,80,72,1,73,7,132,32,0,32,100,124,32,0,32,92,8,0,0,8,18,6,1,0,7,11,31,19,3,0,22,9,10,10,0,0,10,0,21,9,3,0,12,9,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0,2018
FL-603,"Ft Myers, Cape Coral/Lee County CoC",,431,206,38,0,244,187,317,108,34,0,142,175,114,98,4,102,12,35,31,1,32,3,65,21,0,21,44,65,21,0,21,44,0,0,0,0,13,4,0,0,4,9,23,18,0,0,18,5,12,12,0,0,12,0,11,6,0,0,6,5,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,2017
FL-604,Monroe County CoC,Rural CoCs,973,660,101,0,761,212,724,475,72,0,547,177,249,185,29,214,35,74,53,11,64,10,62,37,0,37,25,62,37,0,37,25,0,0,0,0,67,2,20,0,22,45,21,16,0,0,16,5,12,12,0,0,12,0,9,4,0,0,4,5,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,2,0,2,2,0,2018
FL-604,Monroe County CoC,,631,218,121,0,339,292,581,202,90,0,292,289,50,16,31,47,3,18,5,12,17,1,83,1,0,1,82,83,1,0,1,82,0,0,0,0,87,31,26,0,57,30,26,14,4,0,18,8,11,11,0,0,11,0,15,3,4,0,7,8,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,2,1,1,2,0,2017
FL-605,West Palm Beach/Palm Beach County CoC,Suburban CoCs,1309,351,107,0,458,851,964,115,81,0,196,768,345,236,26,262,83,108,73,11,84,24,164,22,0,22,142,164,22,0,22,142,0,0,0,0,130,23,24,0,47,83,65,21,25,0,46,19,4,1,2,0,3,1,61,20,23,0,43,18,17,10,3,13,4,0,0,0,0,0,17,10,3,13,4,27,17,3,20,7,2018
FL-605,West Palm Beach/Palm Beach County CoC,,1607,347,179,0,526,1081,1281,117,109,0,226,1055,326,230,70,300,26,101,70,23,93,8,252,18,0,18,234,252,18,0,18,234,0,0,0,0,65,19,20,0,39,26,99,14,22,0,36,63,8,6,0,0,6,2,91,8,22,0,30,61,18,9,8,17,1,1,0,1,1,0,17,9,7,16,1,24,13,10,23,1,2017
FL-606,Naples/Collier County CoC,Suburban CoCs,653,238,202,0,440,213,551,216,160,0,376,175,102,22,42,64,38,33,8,14,22,11,119,59,0,59,60,108,54,0,54,54,11,5,5,6,11,3,0,0,3,8,66,12,22,0,34,32,66,12,22,0,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
FL-606,Naples/Collier County CoC,,621,244,190,0,434,187,502,224,153,0,377,125,119,20,37,57,62,32,6,7,13,19,90,46,0,46,44,77,46,0,46,31,13,0,0,13,9,4,0,0,4,5,117,31,47,0,78,39,0,0,0,0,0,0,117,31,47,0,78,39,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,2017
GA-500,Atlanta CoC,Major Cities,3076,1146,1190,0,2336,740,2536,815,989,0,1804,732,540,331,201,532,8,166,101,62,163,3,335,105,0,105,230,331,101,0,101,230,4,4,4,0,399,107,196,0,303,96,165,63,74,0,137,28,9,6,3,0,9,0,156,57,71,0,128,28,22,10,11,21,1,0,0,0,0,0,22,10,11,21,1,37,15,21,36,1,2018
GA-500,Atlanta CoC,,3572,1567,1324,0,2891,681,3089,1305,1117,0,2422,667,483,262,207,469,14,163,88,70,158,5,346,215,0,215,131,332,207,0,207,125,14,8,8,6,386,87,234,0,321,65,199,93,88,0,181,18,11,6,5,0,11,0,188,87,83,0,170,18,7,4,2,6,1,0,0,0,0,0,7,4,2,6,1,9,5,3,8,1,2017
GA-501,Georgia Balance of State CoC,Rural CoCs,3730,1228,629,0,1857,1873,2402,579,119,0,698,1704,1328,649,510,1159,169,434,228,137,365,69,266,98,0,98,168,212,46,0,46,166,54,52,52,2,167,30,20,0,50,117,178,60,13,0,73,105,3,2,0,0,2,1,175,58,13,0,71,104,76,42,22,64,12,0,0,0,0,0,76,42,22,64,12,128,76,35,111,17,2018
GA-501,Georgia Balance of State CoC,,3716,1164,679,0,1843,1873,2219,382,133,0,515,1704,1497,782,546,1328,169,620,375,176,551,69,242,74,0,74,168,210,44,0,44,166,32,30,30,2,157,27,13,0,40,117,177,62,10,0,72,105,3,2,0,0,2,1,174,60,10,0,70,104,45,7,26,33,12,0,0,0,0,0,45,7,26,33,12,97,18,62,80,17,2017
GA-502,Fulton County CoC,Suburban CoCs,222,71,63,0,134,88,115,19,30,0,49,66,107,52,33,85,22,40,18,11,29,11,86,20,0,20,66,66,0,0,0,66,20,20,20,0,12,0,12,0,12,0,30,19,5,0,24,6,15,15,0,0,15,0,15,4,5,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
GA-502,Fulton County CoC,,293,85,118,0,203,90,217,36,97,0,133,84,76,49,21,70,6,27,16,9,25,2,2,0,0,0,2,2,0,0,0,2,0,0,0,0,19,1,17,0,18,1,7,0,3,0,3,4,2,0,0,0,0,2,5,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
GA-503,Athens-Clarke County CoC,Other Urban CoCs,212,166,0,0,166,46,128,82,0,0,82,46,84,84,0,84,0,23,23,0,23,0,37,14,0,14,23,37,14,0,14,23,0,0,0,0,14,10,0,0,10,4,5,3,0,0,3,2,0,0,0,0,0,0,5,3,0,0,3,2,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0,2018
GA-503,Athens-Clarke County CoC,,239,145,1,0,146,93,182,88,1,0,89,93,57,57,0,57,0,19,19,0,19,0,53,18,0,18,35,53,18,0,18,35,0,0,0,0,9,5,0,0,5,4,11,6,0,0,6,5,0,0,0,0,0,0,11,6,0,0,6,5,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,2017
GA-504,Augusta-Richmond County CoC,Other Urban CoCs,269,172,50,0,222,47,238,148,43,0,191,47,31,24,7,31,0,11,9,2,11,0,18,16,0,16,2,18,16,0,16,2,0,0,0,0,29,24,0,0,24,5,11,6,3,0,9,2,0,0,0,0,0,0,11,6,3,0,9,2,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,2018
GA-504,Augusta-Richmond County CoC,,246,144,55,0,199,47,217,126,44,0,170,47,29,18,11,29,0,11,6,5,11,0,30,28,0,28,2,28,26,0,26,2,2,2,2,0,44,27,12,0,39,5,4,2,0,0,2,2,0,0,0,0,0,0,4,2,0,0,2,2,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,2017
GA-505,Columbus-Muscogee/Russell County CoC,Other Urban CoCs,276,173,23,0,196,80,234,131,23,0,154,80,42,42,0,42,0,11,11,0,11,0,28,10,0,10,18,28,10,0,10,18,0,0,0,0,13,3,0,0,3,10,17,11,4,0,15,2,0,0,0,0,0,0,17,11,4,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
GA-505,Columbus-Muscogee/Russell County CoC,,319,207,39,0,246,73,245,137,35,0,172,73,74,70,4,74,0,21,20,1,21,0,21,21,0,21,0,21,21,0,21,0,0,0,0,0,17,11,1,0,12,5,13,10,1,0,11,2,2,2,0,0,2,0,11,8,1,0,9,2,5,5,0,5,0,0,0,0,0,0,5,5,0,5,0,12,12,0,12,0,2017
GA-506,Marietta/Cobb County CoC,Suburban CoCs,384,146,120,0,266,118,245,61,80,0,141,104,139,85,40,125,14,44,28,12,40,4,41,8,0,8,33,41,8,0,8,33,0,0,0,0,25,4,7,0,11,14,11,7,2,0,9,2,0,0,0,0,0,0,11,7,2,0,9,2,9,7,2,9,0,0,0,0,0,0,9,7,2,9,0,12,9,3,12,0,2018
GA-506,Marietta/Cobb County CoC,,403,166,119,0,285,118,236,66,66,0,132,104,167,100,53,153,14,46,26,16,42,4,53,20,0,20,33,51,18,0,18,33,2,2,2,0,21,4,3,0,7,14,9,4,3,0,7,2,0,0,0,0,0,0,9,4,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
GA-507,Savannah/Chatham County CoC,Other Urban CoCs,1009,241,304,0,545,464,875,159,252,0,411,464,134,82,52,134,0,35,17,18,35,0,223,41,0,41,182,223,41,0,41,182,0,0,0,0,38,16,0,0,16,22,67,11,16,0,27,40,0,0,0,0,0,0,67,11,16,0,27,40,10,4,6,10,0,0,0,0,0,0,10,4,6,10,0,10,4,6,10,0,2018
GA-507,Savannah/Chatham County CoC,,926,244,319,0,563,363,751,141,247,0,388,363,175,103,72,175,0,53,31,22,53,0,234,67,0,67,167,229,62,0,62,167,5,5,5,0,38,6,5,0,11,27,87,22,19,0,41,46,10,9,0,0,9,1,77,13,19,0,32,45,14,4,10,14,0,0,0,0,0,0,14,4,10,14,0,16,5,11,16,0,2017
GA-508,DeKalb County CoC,Suburban CoCs,321,91,87,0,178,143,170,8,19,0,27,143,151,83,68,151,0,48,25,23,48,0,46,12,0,12,34,36,2,0,2,34,10,10,10,0,8,0,0,0,0,8,10,0,0,0,0,10,2,0,0,0,0,2,8,0,0,0,0,8,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,5,5,0,5,0,2018
GA-508,DeKalb County CoC,,460,99,176,0,275,185,266,17,64,0,81,185,194,82,112,194,0,59,24,35,59,0,47,19,0,19,28,37,9,0,9,28,10,10,10,0,21,9,4,0,13,8,19,0,5,0,5,14,0,0,0,0,0,0,19,0,5,0,5,14,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,3,2,1,3,0,2017
GU-500,Guam CoC,Rural CoCs,854,124,3,0,127,727,209,19,3,0,22,187,645,105,0,105,540,120,25,0,25,95,66,0,0,0,66,12,0,0,0,12,54,0,0,54,14,4,0,0,4,10,7,2,3,0,5,2,2,2,0,0,2,0,5,0,3,0,3,2,6,2,0,2,4,0,0,0,0,0,6,2,0,2,4,3,1,0,1,2,2018
GU-500,Guam CoC,,852,87,0,0,87,765,215,17,0,0,17,198,637,70,0,70,567,117,17,0,17,100,64,0,0,0,64,20,0,0,0,20,44,0,0,44,24,4,0,0,4,20,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,7,1,0,1,6,0,0,0,0,0,7,1,0,1,6,14,3,0,3,11,2017
HI-500,Hawaii Balance of State CoC,Rural CoCs,2035,485,220,0,705,1330,1226,187,39,0,226,1000,809,298,181,479,330,216,84,51,135,81,597,61,0,61,536,517,41,0,41,476,80,20,20,60,125,25,3,0,28,97,46,8,3,0,11,35,1,0,0,0,0,1,45,8,3,0,11,34,35,14,8,22,13,0,0,0,0,0,35,14,8,22,13,40,11,10,21,19,2018
HI-500,Hawaii Balance of State CoC,,2261,283,502,0,785,1476,1423,117,128,0,245,1178,838,166,374,540,298,208,44,96,140,68,641,52,0,52,589,551,27,0,27,524,90,25,25,65,166,11,12,0,23,143,109,3,3,0,6,103,2,0,1,0,1,1,107,3,2,0,5,102,23,5,15,20,3,0,0,0,0,0,23,5,15,20,3,22,4,12,16,6,2017
HI-501,Honolulu City and County CoC,Suburban CoCs,4495,1043,1307,0,2350,2145,2905,645,344,0,989,1916,1590,398,963,1361,229,407,111,229,340,67,1117,197,0,197,920,1012,161,0,161,851,105,36,36,69,407,102,110,0,212,195,143,22,17,0,39,104,10,1,0,0,1,9,133,21,17,0,38,95,32,8,15,23,9,0,0,0,0,0,32,8,15,23,9,36,9,17,26,10,2018
HI-501,Honolulu City and County CoC,,4959,1058,1552,25,2635,2324,3112,629,359,25,1013,2099,1847,429,1193,1622,225,458,115,284,399,59,1159,143,12,155,1004,1037,125,12,137,900,122,18,18,104,449,95,116,3,214,235,210,34,16,0,50,160,24,1,0,0,1,23,186,33,16,0,49,137,48,8,32,40,8,0,0,0,0,0,48,8,32,40,8,46,8,32,40,6,2017
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Other Urban CoCs,264,189,69,0,258,6,172,151,15,0,166,6,92,38,54,92,0,29,13,16,29,0,27,24,0,24,3,25,22,0,22,3,2,2,2,0,25,24,0,0,24,1,7,7,0,0,7,0,0,0,0,0,0,0,7,7,0,0,7,0,6,3,3,6,0,0,0,0,0,0,6,3,3,6,0,9,6,3,9,0,2018
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",,288,171,115,0,286,2,159,136,21,0,157,2,129,35,94,129,0,39,10,29,39,0,17,15,0,15,2,15,13,0,13,2,2,2,2,0,12,10,1,0,11,1,6,1,5,0,6,0,0,0,0,0,0,0,6,1,5,0,6,0,4,0,4,4,0,0,0,0,0,0,4,0,4,4,0,6,0,6,6,0,2017
IA-501,Iowa Balance of State CoC,Rural CoCs,1721,842,742,9,1593,128,927,562,249,9,820,107,794,280,493,773,21,247,89,153,242,5,133,116,2,118,15,92,75,2,77,15,41,41,41,0,79,35,29,9,73,6,132,85,34,0,119,13,9,1,7,0,8,1,123,84,27,0,111,12,40,12,27,39,1,1,1,0,1,0,39,11,27,38,1,59,16,40,56,3,2018
IA-501,Iowa Balance of State CoC,,1792,766,976,0,1742,50,807,494,263,0,757,50,985,272,713,985,0,294,84,210,294,0,107,90,0,90,17,84,67,0,67,17,23,23,23,0,81,39,31,0,70,11,95,66,26,0,92,3,8,5,3,0,8,0,87,61,23,0,84,3,57,13,44,57,0,0,0,0,0,0,57,13,44,57,0,86,21,65,86,0,2017
IA-502,Des Moines/Polk County CoC,Other Urban CoCs,764,450,193,14,657,107,612,322,169,14,505,107,152,128,24,152,0,49,39,10,49,0,110,64,0,64,46,98,52,0,52,46,12,12,12,0,92,27,39,14,80,12,70,43,18,0,61,9,3,3,0,0,3,0,67,40,18,0,58,9,14,6,8,14,0,0,0,0,0,0,14,6,8,14,0,17,8,9,17,0,2018
IA-502,Des Moines/Polk County CoC,,676,436,188,0,624,52,534,327,155,0,482,52,142,109,33,142,0,49,35,14,49,0,75,38,0,38,37,71,34,0,34,37,4,4,4,0,78,28,44,0,72,6,39,20,18,0,38,1,4,4,0,0,4,0,35,16,18,0,34,1,12,4,8,12,0,0,0,0,0,0,12,4,8,12,0,15,6,9,15,0,2017
ID-500,Boise/Ada County CoC,,833,579,143,0,722,111,671,481,93,0,574,97,162,98,50,148,14,46,28,14,42,4,327,270,0,270,57,302,245,0,245,57,25,25,25,0,124,53,59,0,112,12,53,43,5,0,48,5,2,2,0,0,2,0,51,41,5,0,46,5,3,1,1,2,1,0,0,0,0,0,3,1,1,2,1,4,1,1,2,2,2017
ID-500,Boise/Ada County CoC,Other Urban CoCs,756,517,118,0,635,121,613,423,69,0,492,121,143,94,49,143,0,44,31,13,44,0,182,127,0,127,55,166,111,0,111,55,16,16,16,0,113,50,48,0,98,15,33,23,0,0,23,10,4,3,0,0,3,1,29,20,0,0,20,9,6,5,0,5,1,1,0,0,0,1,5,5,0,5,0,10,9,0,9,1,2018
ID-501,Idaho Balance of State CoC,Rural CoCs,1256,437,217,0,654,602,684,224,56,0,280,404,572,213,161,374,198,165,63,51,114,51,142,39,0,39,103,127,27,0,27,100,15,12,12,3,102,24,24,0,48,54,82,29,3,0,32,50,7,3,0,0,3,4,75,26,3,0,29,46,15,7,1,8,7,0,0,0,0,0,15,7,1,8,7,12,6,1,7,5,2018
ID-501,Idaho Balance of State CoC,,1204,424,252,0,676,528,638,192,91,0,283,355,566,232,161,393,173,165,75,50,125,40,109,32,0,32,77,89,12,0,12,77,20,20,20,0,104,20,27,0,47,57,60,26,15,0,41,19,5,5,0,0,5,0,55,21,15,0,36,19,14,8,5,13,1,0,0,0,0,0,14,8,5,13,1,20,8,9,17,3,2017
IL-500,McHenry County CoC,Suburban CoCs,179,87,87,0,174,5,124,58,61,0,119,5,55,29,26,55,0,20,11,9,20,0,23,19,0,19,4,23,19,0,19,4,0,0,0,0,39,15,24,0,39,0,14,9,5,0,14,0,1,1,0,0,1,0,13,8,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
IL-500,McHenry County CoC,,155,47,103,0,150,5,87,21,61,0,82,5,68,26,42,68,0,21,7,14,21,0,5,1,0,1,4,5,1,0,1,4,0,0,0,0,24,2,22,0,24,0,15,5,10,0,15,0,5,1,4,0,5,0,10,4,6,0,10,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2017
IL-501,"Rockford/Winnebago, Boone Counties CoC",Suburban CoCs,256,134,79,0,213,43,169,95,31,0,126,43,87,39,48,87,0,30,13,17,30,0,18,0,0,0,18,18,0,0,0,18,0,0,0,0,21,5,11,0,16,5,19,10,3,0,13,6,2,2,0,0,2,0,17,8,3,0,11,6,14,1,13,14,0,0,0,0,0,0,14,1,13,14,0,21,1,20,21,0,2018
